people_ID,20-Mar-20,21-Mar-20,22-Mar-20,23-Mar-20,24-Mar-20,25-Mar-20,26-Mar-20,forecasts
1,441,544,670,821,1002,1216,1473,1819
2,151,197,253,322,400,493,607,786
3,416,515,632,777,948,1150,1396,1723
4,410,506,621,762,928,1127,1368,1685
5,390,483,595,730,893,1084,1316,1627
6,389,481,591,724,883,1072,1301,1604
7,322,401,497,611,749,912,1110,1379
8,194,247,310,389,483,593,725,921
9,310,385,477,589,721,878,1070,1329
10,242,303,379,470,579,708,865,1084
11,373,464,571,702,858,1042,1266,1567
12,192,245,310,390,482,592,726,924
13,403,498,613,751,917,1114,1353,1669
14,120,157,204,262,329,407,504,660
15,382,474,583,718,876,1065,1294,1601
16,239,302,378,471,581,710,866,1092
17,199,254,319,399,494,606,742,940
18,182,232,295,372,462,567,695,889
19,181,233,295,372,463,569,699,894
20,220,279,351,439,542,664,813,1028
21,246,308,385,480,591,722,881,1107
22,220,278,350,436,539,660,808,1020
23,415,514,632,776,946,1148,1392,1720
24,203,259,325,404,501,614,752,950
25,148,191,243,309,387,477,588,757
26,381,473,584,719,878,1066,1293,1604
27,251,315,392,486,597,729,888,1112
28,185,236,300,378,469,576,704,901
29,365,454,560,688,842,1023,1242,1540
30,405,501,617,755,921,1118,1357,1674
31,240,304,380,474,583,712,869,1095
32,236,297,372,464,574,701,858,1081
33,315,393,486,601,737,897,1090,1358
34,253,318,398,492,605,739,901,1130
35,289,361,448,556,681,830,1012,1263
36,281,351,437,542,665,811,989,1236
37,200,253,319,401,496,609,747,947
38,365,453,558,686,838,1019,1237,1531
39,189,240,303,378,470,577,706,896
40,177,225,286,361,449,551,676,864
41,364,453,560,687,840,1020,1238,1535
42,189,243,307,383,476,584,716,911
43,346,431,533,656,803,977,1186,1474
44,427,525,645,790,963,1169,1417,1745
45,258,323,403,498,613,748,914,1142
46,122,160,207,264,331,410,508,662
47,287,357,445,551,676,824,1002,1252
48,445,548,672,821,1000,1213,1470,1807
49,122,159,205,263,331,410,507,661
50,367,455,561,691,843,1024,1243,1539
51,226,286,359,447,552,675,825,1041
52,241,305,380,471,580,709,866,1086
53,416,513,630,774,943,1144,1389,1712
54,116,153,200,255,322,399,493,648
55,318,395,488,603,740,901,1095,1361
56,363,452,556,685,837,1017,1236,1531
57,224,283,356,443,548,670,820,1035
58,253,320,398,493,609,744,907,1139
59,347,432,534,659,805,979,1188,1477
60,236,298,372,461,569,696,849,1067
61,125,163,212,269,337,417,517,672
62,242,304,381,471,580,709,865,1085
63,251,316,395,492,607,741,904,1138
64,366,454,562,692,844,1026,1245,1545
65,223,281,351,439,542,664,813,1023
66,288,359,446,551,678,826,1006,1255
67,305,381,474,583,716,873,1061,1323
68,327,405,501,619,757,922,1121,1392
69,358,446,551,676,827,1006,1223,1516
70,208,266,334,419,517,634,776,984
71,210,265,332,416,514,629,771,973
72,234,294,367,458,564,690,842,1059
73,114,151,196,253,318,395,488,643
74,313,392,487,602,738,898,1093,1364
75,390,481,594,730,890,1081,1311,1621
76,239,303,380,474,584,714,873,1102
77,446,548,674,826,1005,1220,1479,1821
78,225,284,356,445,551,674,825,1041
79,445,547,671,819,998,1211,1468,1803
80,272,339,421,522,641,782,954,1190
81,323,404,500,616,755,919,1119,1392
82,159,205,261,328,410,505,621,796
83,235,297,371,463,572,699,854,1076
84,295,370,458,566,693,845,1028,1281
